,Location,new_reviews,Comp
1480,Maryland,hotel well keep staff courteous professional location great shopping area movie right behind walk distance also nice area feel safe queen wish parking amenity hotel park difficult use parking 2500 day feel expensive already pay stay read read less,Positive
1481,Fresh Meadows,front desk help check door sheet bed wait room service fix problem read read less,Neutral
1482,"Fresh Meadows, NY",ac lobby restaurant sweat brain breakfast employee look exhausted sweaty do not blame attitude work heat day parking street easy find one surround apartment building read read less,Neutral
1483,Nj,everything walk distance quick ride read read less,Neutral
1484,Sacramento ca,room extremely hot even drop temperature low possible also horrible sewer smell outside room tub also gross read read less,Negative
1485,"Amber, Bayern",nettes hotel etwa 35 kilometer vom flughafen entfernt verfügen über einen shuttlebus den man anfordern kann taxis kosten vom flughafen etwa 15 lage ist eigentlich recht ruhig lediglich die klimaanlage -PRON- be zimmer ist etwas laut sonst sind die zimmer sauber read read less,Negative
1486,NY,room look spacious picture time booking room way small look parking hotel wait valet parking drop off pick up read read less,Neutral
1487,New Jersey,go city concert hotel step away msg convenient check super fast even upgraded room give -PRON- late check definitely stay read read less,Positive
1488,Nyc,upgraded king suite patio gorgeous view city bed comfortable staff wonderful read read less,Positive
1489,Puerto Eixo,like room good condiition lo pretty read read less,Positive
1490,"Oakland,CA",convenient location self parking convenient clean room read read less,Neutral
1491,West Palm Beach,try early check do not get ckey card do not work drive front desk clean people day 2 do not resupply shampoo conditioner coffee cup hand towel bag ice bucket room musty smell read read less,Positive
1492,Orlando,pro friendly helpful checkin great resort layout lot walking area parklike set bed comfy ton restaurant store walk distance 2 pool nice con service gatorville mediocre good pool bar enclose defeats purpose pool bar pool pretty dirty never see anyone tend go search pool towel 3 day bathroom premium room tiny kid playground closed repair 2 year overall little disappointed stay many time lot little thing slip crack garbage can full towel do not see worker walk ground clean whole time stay location read read less,Positive
1493,Orlando,balcony nice bed comfortable food good room clean appear cheaply remodle parking lot full night read read less,Positive
1494,New York,location great hotel old dingy need update clean well read read less,Positive
1495,"Lake arrowhead, ca",checked tell could not hour early another couple come check see another agent desk check -PRON- give -PRON- room key room average needed repair read read less,Neutral
1496,Denver,location good airport place around san jose read read less,Neutral
1497,"San Jose, California",foul smell come carpet hallway room read read less,Neutral
1498,Washington State,beautiful facility friendly accommodate staff read read less,Positive
1499,West Monroe NY,love location property extremely friendly staff read read less,Positive
1500,Toronto,extra charge wifi fitness local call unjustifie gouging people well furious 31 usd day please try explain justify read read less,Neutral
1501,New-York,hôtel très très bien nous avion une chambre spacieuse la salle de bain est elle plus ancienne et petite art déco mais néanmoins fonctionnelle et propre le personnel est vraiment pro aimable et efficace et point important la situation il est proche de time square en face du madison et de la gare penn station desservant les deux aeroports et les ligne bleus read read less,Neutral
1502,California,sure busy front desk personnel rude hotel lobby nice whole hotel smell strongly floor clean pleasant least room alright bed comfortable overall do not think would return be not bad experience -PRON- have still be not great read read less,Positive
1503,So Cal,disappointing book online king deluxe room courtyard view get room right next gym workout hrs 10 pm ask front desk another room put -PRON- behind huge wall courtyard view could see nothing get room service 2 whole day ask clean towel surprise 4 night stay husband birthday disappointing room comfortable island restaurant hotel location good food read read less,Positive
1504,Yuba City California,like place nice atmosphere clean rink do not like brunch breakfast read read less,Positive
1505,Minnehaha,nice enough hotel cost really near anything brag -PRON- would stay read read less,Neutral
1506,MD,cozy spot great location bunch restaurant around read read less,Positive
1507,San Diego,everything else great drunk people walk loud hear inside room read read less,Neutral
1508,California,room clean properlysmell terrible like swampno soapno towels nightmare read read less,Neutral
1509,"Fort Lauderdale, Florida",nice quiet comfy place stay various place eat near hotel easy get around hubby purchase 20 metro card travel bus subway 3 day explore mostly manhattan sheila fort lauderdale read read less,Positive
